OTUID	BeanRoot1ng0clamp	BeanRoot1ng25clamp	BeanRoot1ng50clamp	BeanRoot1ng75clamp	SGLeaf100ng0clamp	SGLeaf100ng25clamp	SGLeaf100ng50clamp	SGLeaf100ng75clamp	SGLeaf10ng0clamp	SGLeaf10ng25clamp	SGLeaf10ng50clamp	SGLeaf10ng75clamp	SGLeaf1ng0clamp	SGLeaf1ng25clamp	SGLeaf1ng50clamp	SGLeaf1ng75clamp
OTU101	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
OTU49	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0
OTU83	0	0	0	0	0	0	7	1	0	0	0	1	0	0	0	0
OTU153	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
OTU154	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU129	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU105	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
OTU165	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU166	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU168	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU118	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU139	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0
OTU164	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU169	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU170	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU145	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
OTU158	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
OTU133	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
